fpath,NACA_no,AoA,Mach,CD,CL
airfoils-1deg/NACA0002a_-1Re_50000M_0.3.jpg,NACA0002,-1,0.3,0.01287,-0.1098
airfoils-1deg/NACA0004a_-1Re_50000M_0.3.jpg,NACA0004,-1,0.3,0.01352,-0.1025
airfoils-1deg/NACA0005a_-1Re_50000M_0.3.jpg,NACA0005,-1,0.3,0.01395,-0.0969
airfoils-1deg/NACA0006a_-1Re_50000M_0.3.jpg,NACA0006,-1,0.3,0.01448,-0.0886
airfoils-1deg/NACA0007a_-1Re_50000M_0.3.jpg,NACA0007,-1,0.3,0.01517,-0.0777
airfoils-1deg/NACA0008a_-1Re_50000M_0.3.jpg,NACA0008,-1,0.3,0.01607,-0.0627
airfoils-1deg/NACA0009a_-1Re_50000M_0.3.jpg,NACA0009,-1,0.3,0.01724,-0.0423
airfoils-1deg/NACA0010a_-1Re_50000M_0.3.jpg,NACA0010,-1,0.3,0.01875,-0.0165
airfoils-1deg/NACA0011a_-1Re_50000M_0.3.jpg,NACA0011,-1,0.3,0.02063,0.0125
airfoils-1deg/NACA0012a_-1Re_50000M_0.3.jpg,NACA0012,-1,0.3,0.02291,0.0407
airfoils-1deg/NACA0013a_-1Re_50000M_0.3.jpg,NACA0013,-1,0.3,0.02635,-0.0603
airfoils-1deg/NACA0014a_-1Re_50000M_0.3.jpg,NACA0014,-1,0.3,0.02922,-0.2075
airfoils-1deg/NACA0015a_-1Re_50000M_0.3.jpg,NACA0015,-1,0.3,0.03084,-0.3455
airfoils-1deg/NACA0016a_-1Re_50000M_0.3.jpg,NACA0016,-1,0.3,0.03217,-0.4352
airfoils-1deg/NACA0017a_-1Re_50000M_0.3.jpg,NACA0017,-1,0.3,0.0358,-0.4121
airfoils-1deg/NACA0018a_-1Re_50000M_0.3.jpg,NACA0018,-1,0.3,0.0396,-0.3681
airfoils-1deg/NACA0019a_-1Re_50000M_0.3.jpg,NACA0019,-1,0.3,0.04285,-0.3387
airfoils-1deg/NACA0020a_-1Re_50000M_0.3.jpg,NACA0020,-1,0.3,0.04691,-0.3054
airfoils-1deg/NACA0021a_-1Re_50000M_0.3.jpg,NACA0021,-1,0.3,0.05126,-0.2599
airfoils-1deg/NACA0022a_-1Re_50000M_0.3.jpg,NACA0022,-1,0.3,0.05525,-0.2376
airfoils-1deg/NACA0023a_-1Re_50000M_0.3.jpg,NACA0023,-1,0.3,0.0607,-0.1757
airfoils-1deg/NACA0024a_-1Re_50000M_0.3.jpg,NACA0024,-1,0.3,0.06694,-0.0612
airfoils-1deg/NACA0028a_-1Re_50000M_0.3.jpg,NACA0028,-1,0.3,0.09147,0.0715
airfoils-1deg/NACA0029a_-1Re_50000M_0.3.jpg,NACA0029,-1,0.3,0.09622,0.1139
airfoils-1deg/NACA0102a_-1Re_50000M_0.3.jpg,NACA0102,-1,0.3,0.01287,-0.1098
airfoils-1deg/NACA0104a_-1Re_50000M_0.3.jpg,NACA0104,-1,0.3,0.01352,-0.1025
airfoils-1deg/NACA0105a_-1Re_50000M_0.3.jpg,NACA0105,-1,0.3,0.01395,-0.0969
airfoils-1deg/NACA0106a_-1Re_50000M_0.3.jpg,NACA0106,-1,0.3,0.01448,-0.0886
airfoils-1deg/NACA0107a_-1Re_50000M_0.3.jpg,NACA0107,-1,0.3,0.01517,-0.0777
airfoils-1deg/NACA0108a_-1Re_50000M_0.3.jpg,NACA0108,-1,0.3,0.01607,-0.0627
airfoils-1deg/NACA0109a_-1Re_50000M_0.3.jpg,NACA0109,-1,0.3,0.01724,-0.0423
airfoils-1deg/NACA0110a_-1Re_50000M_0.3.jpg,NACA0110,-1,0.3,0.01875,-0.0165
airfoils-1deg/NACA0111a_-1Re_50000M_0.3.jpg,NACA0111,-1,0.3,0.02063,0.0125
airfoils-1deg/NACA0112a_-1Re_50000M_0.3.jpg,NACA0112,-1,0.3,0.02291,0.0407
airfoils-1deg/NACA0113a_-1Re_50000M_0.3.jpg,NACA0113,-1,0.3,0.02635,-0.0603
airfoils-1deg/NACA0114a_-1Re_50000M_0.3.jpg,NACA0114,-1,0.3,0.02922,-0.2075
airfoils-1deg/NACA0115a_-1Re_50000M_0.3.jpg,NACA0115,-1,0.3,0.03084,-0.3455
airfoils-1deg/NACA0116a_-1Re_50000M_0.3.jpg,NACA0116,-1,0.3,0.03217,-0.4352
airfoils-1deg/NACA0117a_-1Re_50000M_0.3.jpg,NACA0117,-1,0.3,0.0358,-0.4121
airfoils-1deg/NACA0118a_-1Re_50000M_0.3.jpg,NACA0118,-1,0.3,0.0396,-0.3681
airfoils-1deg/NACA0119a_-1Re_50000M_0.3.jpg,NACA0119,-1,0.3,0.04285,-0.3387
airfoils-1deg/NACA0120a_-1Re_50000M_0.3.jpg,NACA0120,-1,0.3,0.04691,-0.3054
airfoils-1deg/NACA0121a_-1Re_50000M_0.3.jpg,NACA0121,-1,0.3,0.05126,-0.2599
airfoils-1deg/NACA0122a_-1Re_50000M_0.3.jpg,NACA0122,-1,0.3,0.05525,-0.2376
airfoils-1deg/NACA0123a_-1Re_50000M_0.3.jpg,NACA0123,-1,0.3,0.0607,-0.1757
airfoils-1deg/NACA0124a_-1Re_50000M_0.3.jpg,NACA0124,-1,0.3,0.06694,-0.0612
airfoils-1deg/NACA0128a_-1Re_50000M_0.3.jpg,NACA0128,-1,0.3,0.09147,0.0715
airfoils-1deg/NACA0129a_-1Re_50000M_0.3.jpg,NACA0129,-1,0.3,0.09622,0.1139
airfoils-1deg/NACA0202a_-1Re_50000M_0.3.jpg,NACA0202,-1,0.3,0.01287,-0.1098
airfoils-1deg/NACA0204a_-1Re_50000M_0.3.jpg,NACA0204,-1,0.3,0.01352,-0.1025
airfoils-1deg/NACA0205a_-1Re_50000M_0.3.jpg,NACA0205,-1,0.3,0.01395,-0.0969
airfoils-1deg/NACA0206a_-1Re_50000M_0.3.jpg,NACA0206,-1,0.3,0.01448,-0.0886
airfoils-1deg/NACA0207a_-1Re_50000M_0.3.jpg,NACA0207,-1,0.3,0.01517,-0.0777
airfoils-1deg/NACA0208a_-1Re_50000M_0.3.jpg,NACA0208,-1,0.3,0.01607,-0.0627
airfoils-1deg/NACA0209a_-1Re_50000M_0.3.jpg,NACA0209,-1,0.3,0.01724,-0.0423
airfoils-1deg/NACA0210a_-1Re_50000M_0.3.jpg,NACA0210,-1,0.3,0.01875,-0.0165
airfoils-1deg/NACA0211a_-1Re_50000M_0.3.jpg,NACA0211,-1,0.3,0.02063,0.0125
airfoils-1deg/NACA0212a_-1Re_50000M_0.3.jpg,NACA0212,-1,0.3,0.02291,0.0407
airfoils-1deg/NACA0213a_-1Re_50000M_0.3.jpg,NACA0213,-1,0.3,0.02635,-0.0603
airfoils-1deg/NACA0214a_-1Re_50000M_0.3.jpg,NACA0214,-1,0.3,0.02922,-0.2075
airfoils-1deg/NACA0215a_-1Re_50000M_0.3.jpg,NACA0215,-1,0.3,0.03084,-0.3455
airfoils-1deg/NACA0216a_-1Re_50000M_0.3.jpg,NACA0216,-1,0.3,0.03217,-0.4352
airfoils-1deg/NACA0217a_-1Re_50000M_0.3.jpg,NACA0217,-1,0.3,0.0358,-0.4121
airfoils-1deg/NACA0218a_-1Re_50000M_0.3.jpg,NACA0218,-1,0.3,0.0396,-0.3681
airfoils-1deg/NACA0219a_-1Re_50000M_0.3.jpg,NACA0219,-1,0.3,0.04285,-0.3387
airfoils-1deg/NACA0220a_-1Re_50000M_0.3.jpg,NACA0220,-1,0.3,0.04691,-0.3054
airfoils-1deg/NACA0221a_-1Re_50000M_0.3.jpg,NACA0221,-1,0.3,0.05126,-0.2599
airfoils-1deg/NACA0222a_-1Re_50000M_0.3.jpg,NACA0222,-1,0.3,0.05525,-0.2376
airfoils-1deg/NACA0223a_-1Re_50000M_0.3.jpg,NACA0223,-1,0.3,0.0607,-0.1757
airfoils-1deg/NACA0224a_-1Re_50000M_0.3.jpg,NACA0224,-1,0.3,0.06694,-0.0612
airfoils-1deg/NACA0228a_-1Re_50000M_0.3.jpg,NACA0228,-1,0.3,0.09147,0.0715
airfoils-1deg/NACA0229a_-1Re_50000M_0.3.jpg,NACA0229,-1,0.3,0.09622,0.1139
airfoils-1deg/NACA0302a_-1Re_50000M_0.3.jpg,NACA0302,-1,0.3,0.01287,-0.1098
airfoils-1deg/NACA0304a_-1Re_50000M_0.3.jpg,NACA0304,-1,0.3,0.01352,-0.1025
airfoils-1deg/NACA0305a_-1Re_50000M_0.3.jpg,NACA0305,-1,0.3,0.01395,-0.0969
airfoils-1deg/NACA0306a_-1Re_50000M_0.3.jpg,NACA0306,-1,0.3,0.01448,-0.0886
airfoils-1deg/NACA0307a_-1Re_50000M_0.3.jpg,NACA0307,-1,0.3,0.01517,-0.0777
airfoils-1deg/NACA0308a_-1Re_50000M_0.3.jpg,NACA0308,-1,0.3,0.01607,-0.0627
airfoils-1deg/NACA0309a_-1Re_50000M_0.3.jpg,NACA0309,-1,0.3,0.01724,-0.0423
